cct,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32EJN0193C,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,1,2,2,1
32PJN0042C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1274V,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,1,1,1,1
32DJN1033X,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,1,1
32EJN0505O,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32EJN0528Z,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32EJN0192D,2,2,2,3,2,3,3,2,2,2,2,3,3,3,2,2,2,2,1,1,1,1
32DJN0162K,5,5,6,6,6,5,5,4,4,4,4,4,4,5,6,6,7,8,6,6,6,6
32DJN0077N,6,6,6,6,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5
32DJN1299D,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN1166N,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0186U,2,2,3,4,4,3,3,2,3,3,2,3,3,3,3,2,3,4,4,4,4,2
32DJN0271R,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,4,3,2,2,2,2
32DJN1279Q,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0493A,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0166G,4,4,4,3,3,3,3,4,3,4,3,4,4,3,3,3,3,3,2,2,2,2
32EJN0506N,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
32EJN0194B,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0251D,3,3,3,3,3,3,4,5,6,6,6,5,5,6,7,6,7,7,6,6,6,6
32DJN1231X,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0274O,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32EJN0614V,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0189R,5,5,6,5,6,8,6,8,7,10,8,8,8,9,8,9,9,8,8,8,8,8
32EJN0529Y,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32EJN0060M,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
32DJN1256F,3,3,3,2,2,2,3,2,2,2,2,3,3,2,2,3,2,2,1,1,1,1
32DJN0032R,3,4,4,6,5,5,6,5,5,5,5,5,5,4,3,3,3,3,2,3,2,2
32DJN1341C,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0298Y,2,4,3,3,3,3,3,2,3,3,3,2,2,3,2,2,3,3,1,1,1,1
32DJN0297Z,3,4,2,4,3,4,3,3,3,3,3,3,3,3,5,4,4,4,3,3,3,3
32EJN0507M,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
32DJN0382W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0140Z,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3
32DJN0056A,5,5,4,5,4,4,4,4,5,5,5,5,5,6,5,7,6,7,8,7,6,6
32EJN0616T,3,3,3,2,3,2,3,2,2,2,1,2,2,2,3,2,2,3,1,1,1,1
32DJN0250E,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,1,1,1,1,1
32DJN0165H,4,4,5,5,6,6,6,6,6,6,6,7,7,7,6,6,5,6,5,5,5,5
32DJN0492B,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2
32DJN0164I,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
32DJN0079L,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,1,1,1,1
32DJN1035V,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,1,1,1,1
32DJN1583Z,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32EJN0615U,3,3,3,2,3,3,2,1,2,3,3,2,2,3,2,1,1,1,1,1,1,1
32EJN0061L,3,3,4,4,5,5,4,5,5,5,4,4,4,5,5,6,5,4,4,4,4,5
32DJN0188S,4,6,5,4,5,5,5,5,5,6,5,6,6,5,5,5,6,7,5,6,6,5
32DJN1257E,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32DJN1342B,3,3,3,2,2,3,3,3,2,3,2,3,3,3,2,3,2,2,1,1,1,1
32DJN0273P,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0031S,5,5,5,5,5,5,5,6,6,6,7,5,5,5,5,5,5,6,5,4,4,4
32DJN1168L,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,1,1,1
32DJN0494Z,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN1253I,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32EJN0508L,5,5,5,5,5,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,3
32DJN1100E,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1
32DJN1015H,2,2,3,3,2,3,2,2,3,3,3,3,3,2,3,2,3,2,1,1,1,1
32EJN0280Y,3,2,3,3,3,3,3,2,2,2,3,3,3,2,3,2,3,3,3,2,2,2
32EJN0617S,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
